id;category;title;format;size;description;file_url;keywords;answer_template;page_num;content_file;content_length;content_preview
9;Руководство по эксплуатации;СГМ ЭРИС-110 Руководство по эксплуатации;PDF;7.08MB;;https://eriskip.com/uploads/files/ru/1/9/sgmeris110manual.pdf;СГМ ЭРИС-110 | ЭРИС-110 | руководство по эксплуатации;Документ: «СГМ ЭРИС-110 Руководство по эксплуатации». Формат: PDF 7.08MB. Ссылка для скачивания: https://eriskip.com/uploads/files/ru/1/9/sgmeris110manual.pdf;1;9_СГМ_ЭРИС-110_Руководство_по_эксплуатации.txt;240450;"14   апреля
                         СОДЕРЖАНИЕ

       1 Описание и работа                                                  5
        1.1 Назначение изделия                                               5
        1.2 Технические характеристики                                        6
        1.3 Состав                                                          9
        1.4 Устройство и работа системы                                      10
        1.5 Маркировка                                                     11
        1.6 Упаковка                                                        11
        1.7 Описание и работа контроллера                                    12
        1.8 Описание и работа модуля архивирования и программирования МАП    14
        1.9 Комплектность                                                   24
       1.10 Электрическое подключение системы ЭРИС-110                     24
       2 Использование по назначению                                       26
        2.1 Эксплуатационные ограничения                                    26
        2.2 Подготовка СГМ ЭРИС-110 к использованию                         26
        2.3 Эксплуатация СГМ ЭРИС-110                                      27
        2.4 Требования к безопасности СГМ ЭРИС-110                          29
       3 Техническое обслуживание и ремонт                                  31
        3.1 Техническое обслуживание системы СГМ ЭРИС-110                  31
        3.2 Ремонт системы СГМ ЭРИС-110                                    31
        3.3 Монтаж системы СГМ ЭРИС-110                                   31
        3.4 Монтаж датчика                                                 32
        3.5 Обеспечение безопасности и взрывозащиты при эксплуатации           32
дата      3.6 Меры безопасности и обеспечение взрывозащищенности при монтаже    33
и        3.7 Меры безопасности и обеспечение взрывозащищенности при ремонте    34
       4 Транспортирование и хранение                                      35
       5 Гарантии изготовителя                                             35Подпись
      Приложение А Типы датчиков и газоанализаторов, входящих в состав    36
     СГМ и основные метрологические характеристики ИК СГМ
      Приложение Б Система газоаналитическая ЭРИС-110. Схема электриче-     60
дубл.     ская подключений.
№     Приложение В Габаритные и установочные размеры СГМ ЭРИС-110        62
Инв.     Приложение Г Габаритные размеры МАП СГМ ЭРИС-110-Х/К             64
№     Приложение Д Габаритные размеры модулей МВП и МВТ СГМ ЭРИС-      65
       110-Х/Кинв.
      Приложение Е Структура меню модуля МАП                            66
Взам.     Приложение Ж Описание работы ПО Сервис-СГМ                       67
      Приложение И Перечень документов, на которые даны ссылки в настоя-     84
     щем РЭ
дата     Приложение К Список используемых обозначений и сокращений           85
и
Подпись
                                            АПНС.424321.110-00 РЭ
        Изм.  Лист   № докум.     Подпись  Дата
                                                                                                             Листов                                                   газоаналитическая       Лит.     Листподл.      Разраб.Провер.     ПаздеринКречетов С.В.А.А.              Система                                                                                             85                                                                             2                                         многофункциональная
№                              СГМ ЭРИС-110
Инв.     Н. Контр.    Чунарев А.С.
         Настоящее руководство по эксплуатации (РЭ) предназначено для  изучения
       устройства, принципа действия, технических характеристик системы газоанали-
       тической многофункциональной СГМ ЭРИС-110 и содержит сведения, необхо-
      димые  для  правильной  эксплуатации,  транспортирования,  хранения  и
       технического обслуживания.
        ..."
24;Руководство по эксплуатации;СГМ ЭРИС-130 Руководство по эксплуатации;PDF;4.40MB;;https://eriskip.com/uploads/files/ru/1/24/sgmeris130manual.pdf;СГМ ЭРИС-130 | ЭРИС-130 | руководство по эксплуатации;Документ: «СГМ ЭРИС-130 Руководство по эксплуатации». Формат: PDF 4.40MB. Ссылка для скачивания: https://eriskip.com/uploads/files/ru/1/24/sgmeris130manual.pdf;1;24_СГМ_ЭРИС-130_Руководство_по_эксплуатации.txt;205671;"14   апреля
                           СОДЕРЖАНИЕ

      Введение ............................................................................................................................................ 3

      1  ОПИСАНИЕ И РАБОТА ......................................................................................................... 4

          1.1 Назначение системы .............................................................................................................. 4

          1.2 Технические характеристики системы. ................................................................................ 4

          1.3 Комплектность ........................................................................................................................ 6

          1.4 Устройство и работа .............................................................................................................. 6

          1.5 Маркирование и пломбирование. ......................................................................................... 7

          1.6 Упаковка.................................................................................................................................. 8

      2 ИСПОЛЬЗОВАНИЕ ПО НАЗНАЧЕНИЮ .................................................................................. 9

          2.1 Меры безопасности ................................................................................................................ 9

          2.2 Порядок установки, монтаж и подключение ....................................................................... 9

          2.3 Использование системы СГМ ЭРИС-130 ............................................................................ 9

          2.4 Описание меню прибора ...................................................................................................... 10

      3 ТЕХНИЧЕСКОЕ ОБСЛУЖИВАНИЕ ....................................................................................... 28

      4 РЕМОНТ ...................................................................................................................................... 29

      5 ТРАНСПОРТИРОВАНИЕ И ХРАНЕНИЕ ............................................................................... 30

      6 ГАРАНТИИ ИЗГОТОВИТЕЛЯ ................................................................................................. 30

      Приложение А Типы датчиков и газоанализаторов, входящих в состав СГМ, и их основные
дата
и     метрологические характеристики ................................................................................................. 31

      Приложение Б Принципиальная схема подключения СГМ ЭРИС-130 .................................... 56
Подпись    Приложение В Габаритные и установочные размеры ЭРИС-130 ........................................... 588

      Приложение Г Структура меню ЭРИС-130 ............................................................................... 599

      Приложение Д Адресное пространство регистров ..................................................................... 60
дубл.
№
Инв.

№
инв.
Взам.


дата
и
Подпись
                                            АПНС.424321.130-00 РЭ
     Изм Лист № докум.    ПодписьДата
                                                                                Листов                                                    газоаналитическая   Лит.   Листподл.    Разраб.Провер-   КлиминКречетов А.Н.С.В.               Система                                                                                     65                                                                             2                                          многофункциональная
№                               СГМ ЭРИС-130
Инв.    Н.контр.   Чунарев А.С.
      Утр.      Юрков В.И.
                                   Введение

           Настоящее руководство по эксплуатации (РЭ) предназначено для изучения устройства,
       принци..."
34;Руководство по эксплуатации;ДГК-НВ Руководство по эксплуатации;PDF;0.99MB;;https://eriskip.com/uploads/files/ru/1/34/dgknvre.pdf;ДГК-НВ | руководство по эксплуатации;Документ: «ДГК-НВ Руководство по эксплуатации». Формат: PDF 0.99MB. Ссылка для скачивания: https://eriskip.com/uploads/files/ru/1/34/dgknvre.pdf;1;34_ДГК-НВ_Руководство_по_эксплуатации.txt;56926;"Общество с ограниченной ответственностью
                                «ЭРИС»
     ОКП 42 1592





                       Рабочий эталон 1-го разряда
             Комплекс динамический газосмесительный ДГК-НВ
                             Руководство по эксплуатации
дата                             ШДЕК.418313.700РЭ
и
Подпись


дубл.
№
Инв.

№
инв.
Взам.


дата
и
Подпись

                                   Чайковский 2011подл.     Провер.     Нуделев
№
Инв.
                                          Содержание
     Введение………………………………………………………………………………………………3
        1 Описание и работа………………………………………………………………………………….3
            1.1 Назначение……………………………………………………………………………………...3
            1.2 Технические характеристики…………………………………………………………………4
            1.3 Комплектность………………………………………………………………………………….6
            1.4 Устройство и работа……………………………………………………………………………6
        2 Использование по назначению…………………………………………………………………….9
            2.1 Подготовка рабочего эталона к использованию……………………………………………...9
            2.2 Правила и порядок установки………………………………………………………………...10
            2.3 Включение рабочего эталона………………………………………………………………….11
            2.4 Порядок работы с рабочим эталоном………………………………………………………..12
           3. Техническое обслуживание………………………………………………………………………16
           4. Возможные неисправности и способы их устранения…………………………………………17
           5. Транспортирование и хранение………………………………………………………………….17
           6. Гарантии изготовителя…………………………………………………………………………...17
           7. Свидетельство о приемке…………………………………………………………………………18
дата        8. Приложение А Расчет режимов работы рабочего эталона……………………………………..19
и           9. Приложение Б Протокол калибровки аналитического блока рабочего эталона………………20
          10. Приложение В Расчет надежности……………………………………………....………………21Подпись          11. Приложение Г Расчет интенсивности отказов …………………………………………………23
          12. Приложение Д Оценка среднего времени восстановления стенда испытательного ...………24
дубл.        Лист регистрации изменений……………………………………………………………………….25
№
Инв.

№
инв.
Взам.

дата
и
Подпись
                                              ШДЕК.418313.700РЭ
      Изм Лист № докум. Подпись Дата
подл.     Разраб.                      Рабочий эталон 1-го разряда –   Литера   Лист    Листов       Проверил                                                                      2        25
№                               комплекс динамический газосме-
                                   сительный ДГК-НВИнв.     Н.контр.                                Руководство по Эксплуатации       Утвердил
                                             Введение


            Настоящее руководство по эксплуатации предназначено для ознакомления с рабочим эта-
        лоном 1-го разряда – комплексом динамическим газосмесительным ДГК-НВ (в дальнейшем –
        рабочий эталон) и содержит описание рабочего эталона и принцип его действия, а также харак-
        теристики и другие сведения, необходимые для обеспечения полного использования техниче-
        ских возможностей и правильной эксплуатации рабочего эталона.


                                         1 Описание и работа
                                                    1.1 Назначение
                1.1.1 Рабочий эталон 1-го разряда – комплекс динамический газосмесительный ДГК-НВ
        предназначен для приготовления бинарных газовых смесей (ГС) методом динамического сме-
       шения двух потоков газа – парогазовой смеси полученной путем барботирования газа воздуха
         через целевой компонент в жидкой фазе, и газа-разбавителя. Регулирование и измерение расхо-
        дов парогазовой смеси и газа-разбавителя осуществляется при помощи тепловых регуляторов
        массового расхода газа.
            Рабочий эталон 1-го разряда – комплекс динамический газосмесительный ДГК-НВ явля-
         ется рабочим эталоном 1-го разряда в соответствии с ГОСТ 8.578-2008 и может применяться..."
61;Руководство по эксплуатации;ДГС ЭРИС-210-2 Руководство по эксплуатации;PDF;1.06MB;ДГС ЭРИС-210 Руководство по эксплуатации. Только для модификации №2.;https://eriskip.com/uploads/files/ru/14/61/dgs-eris-210-2-rukovodstvo-po-ekspluatacii.pdf;ДГС ЭРИС-210 | ДГС ЭРИС-210-2 | ЭРИС-210 | ЭРИС-210-2 | руководство по эксплуатации;Документ: «ДГС ЭРИС-210-2 Руководство по эксплуатации». Описание: ДГС ЭРИС-210 Руководство по эксплуатации. Только для модификации №2.. Формат: PDF 1.06MB. Ссылка для скачивания: https://eriskip.com/uploads/files/ru/14/61/dgs-eris-210-2-rukovodstvo-po-ekspluatacii.pdf;1;61_ДГС_ЭРИС-210-2_Руководство_по_эксплуатации.txt;71843;"Общество с ограниченной ответственностью

                      «ЭРИС»


ОКП 42 1510





      Датчик-газоанализатор стационарный

            ДГС ЭРИС-210

                 Руководство по эксплуатации

                   АПНС.413216.210-02 РЭ

                         Версия 5.0





                            2016
Руководство по эксплуатации ДГС ЭРИС-210                                               Версия 5.0


                          Содержание

Введение ............................................................................................................................................. 3

1 Назначение изделия ....................................................................................................................... 4

2 Комплектность ................................................................................................................................ 9

3 Устройство и работа ...................................................................................................................... 10

4 Обеспечение взрывозащищенности ............................................................................................. 13

5 Маркировка и пломбирование ...................................................................................................... 14

6 Упаковка .......................................................................................................................................... 14

7 Указание мер безопасности ........................................................................................................... 15

8 Особые условия применения ........................................................................................................ 16

9 Использование по назначению ..................................................................................................... 17

10 Техническое обслуживание ......................................................................................................... 20

11 Гарантия изготовителя ................................................................................................................. 21

Приложение А Диапазоны измерений объемной доли компонентов и пределы допускаемой

основной погрешности ДГС ЭРИС-210 .......................................................................................... 22

Приложение Б Схемы подключения газоанализатора ДГС ЭРИС-210 ....................................... 24

Приложение В Чертеж средств взрывозащиты газоанализатора ................................................. 25

Приложение Г Габаритный чертеж газоанализатора .................................................................... 26

Приложение Д Номинальная статическая функция преобразования .......................................... 27

Приложение Е Протокол обмена для газоанализатора ДГС ЭРИС-210 ...................................... 28

Приложение Ж Инструкция по монтажу ДГС ЭРИС-210 ............................................................ 33

Приложение И Установка нуля и калибровка газоанализатора .................................................. 34

Приложение К Газы, определяемые сенсорами горючих газов: .................................................. 37

Приложение Л ПО газоанализатора ДГС ЭРИС-210 .................................................................... 38





                                        2
 Руководство по эксплуатации ДГС ЭРИС-210                                               Версия 5.0

                             Введение

   Настоящее руководство по эксплуатации (РЭ) предназначено для изучения устройства,

конструкции и принципа действия датчика-газоанализатора стационарного ДГС ЭРИС-210 (в

дальнейшем – ДГС ЭРИС-210, газоанализатор). РЭ содержит основные технические данные,

рекомендации по техническому обслуживанию, а также другие сведения, необходимые для

правильной эксплуатации, ремонта и хранения газоанализатора.

     Область  применения  –  взр..."
62;Руководство по эксплуатации;ДГС ЭРИС-230-2 Руководство по эксплуатации;PDF;1.22MB;ДГС ЭРИС-230 Руководство по эксплуатации. Только для модификации №2.;https://eriskip.com/uploads/files/ru/14/62/dgs-eris-230-2-rukovodstvo-po-ekspluatacii.pdf;ДГС ЭРИС-230 | ДГС ЭРИС-230-2 | ЭРИС-230 | ЭРИС-230-2 | руководство по эксплуатации;Документ: «ДГС ЭРИС-230-2 Руководство по эксплуатации». Описание: ДГС ЭРИС-230 Руководство по эксплуатации. Только для модификации №2.. Формат: PDF 1.22MB. Ссылка для скачивания: https://eriskip.com/uploads/files/ru/14/62/dgs-eris-230-2-rukovodstvo-po-ekspluatacii.pdf;1;62_ДГС_ЭРИС-230-2_Руководство_по_эксплуатации.txt;67985;"Общество с ограниченной ответственностью

                          «ЭРИС»


ОКП 42 1510                                  УТВЕРЖДАЮ

                                         Генеральный директор ООО «ЭРИС»

                                                 _______________В.И. Юрков

                                                  «____»______________2015





          Датчик-газоанализатор стационарный

               ДГС ЭРИС-230

                        Модификация 2

                      Руководство по эксплуатации

                       АПНС.413216.230-02 РЭ





СОГЛАСОВАНО

Заместитель директора по техническим         Начальник производства

вопросам ООО «ЭРИС»               ООО «ЭРИС»

___________________А.В. Кривошеев          ____________А.Н. Климин





                                2015
                                Содержание

        Введение ............................................................................................................................................. 3

        1 Назначение изделия ....................................................................................................................... 4

        2 Комплектность ................................................................................................................................ 8

        3 Устройство и работа ...................................................................................................................... 9

        4 Обеспечение взрывозащищенности ............................................................................................. 11

        5 Маркировка и пломбирование ...................................................................................................... 12

        6 Упаковка .......................................................................................................................................... 12

        7 Указание мер безопасности ........................................................................................................... 13

        8 Особые условия применения ........................................................................................................ 14

        9 Использование по назначению ..................................................................................................... 15

        10 Техническое обслуживание ......................................................................................................... 17

        11 Гарантия изготовителя ................................................................................................................. 18

       Приложение А ................................................................................................................................... 19

       Приложение Б .................................................................................................................................... 23

       Схемы подключения газоанализатора ДГС ЭРИС-230 ................................................................. 23

       Приложение В .................................................................................................................................... 24

       Приложение Г .................................................................................................................................... 25

       Приложение Д.................................................................................................................................... 26
дата
и     Приложение Е .................................................................................................................................... 27

       Приложение Ж ................................................................................................................................... 28Подпись       Приложение И ..............................................................................................."
64;Руководство по эксплуатации;Руководство по эксплуатации ЭРИС ИП-330 v.2.0;PDF;3.03MB;Руководство по эксплуатации ЭРИС ИП-330 v.2.0;https://eriskip.com/uploads/files/ru/14/64/rukovodstvo-po-ekspluatacii-eris-ip-330.pdf;ИП-330 | руководство по эксплуатации;Документ: «Руководство по эксплуатации ЭРИС ИП-330 v.2.0». Описание: Руководство по эксплуатации ЭРИС ИП-330 v.2.0. Формат: PDF 3.03MB. Ссылка для скачивания: https://eriskip.com/uploads/files/ru/14/64/rukovodstvo-po-ekspluatacii-eris-ip-330.pdf;1;64_Руководство_по_эксплуатации_ЭРИС_ИП-330_v.2.0.txt;57835;"СОДЕРЖАНИЕ

ВВЕДЕНИЕ ..................................................................................................................... 3
1  ОПИСАНИЕ И РАБОТА ИЗВЕЩАТЕЛЯ ................................................................. 4
1.1  Назначение .......................................................................................................... 4
1.2  Область применения ........................................................................................... 4
1.3   Конструкция и габаритные размеры ................................................................... 5
1.4   Технические и метрологические характеристики .............................................. 8
1.5   Ресурсы, сроки службы и гарантии изготовителя ........................................... 11
1.6   Комплектность ................................................................................................... 11
1.7   Устройство и работа .......................................................................................... 12
1.8  Маркировка и пломбирование .......................................................................... 12
1.9   Упаковка ............................................................................................................. 13
2  МЕРЫ БЕЗОПАСНОСТИ ...................................................................................... 14
3  ИСПОЛЬЗОВАНИЕ ПО НАЗНАЧЕНИЮ .............................................................. 15
3.1   Указания по эксплуатации ................................................................................ 15
3.2  Эксплуатационные ограничения ....................................................................... 15
3.3   Подготовка к работе .......................................................................................... 15
3.4  Обеспечение взрывозащищенности при монтаже .......................................... 15
3.5  Монтаж ............................................................................................................... 16
  3.6 Монтаж кабельного ввода ................................................................................. 18
  3.7 Подключение извещателя ................................................................................. 19
4  ТЕХНИЧЕСКОЕ ОБСЛУЖИВАНИЕ...................................................................... 21
4.1  Общие указания ................................................................................................. 21
4.2  Внешний осмотр ................................................................................................ 21
4.3  Контроль работоспособности извещателя ...................................................... 21
4.4  Очистка корпуса и смотрового окна ................................................................. 21
5  ТРАНСПОРТИРОВАНИЕ И ХРАНЕНИЕ ............................................................. 23
5.1  Транспортирование ........................................................................................... 23
5.2  Хранение ............................................................................................................ 23
5.3  Консервация и перевод на хранение ............................................................... 23
6  УТИЛИЗАЦИЯ ....................................................................................................... 25
Приложение А. Средства взрывозащиты извещателя ............................................. 26
Приложение Б. Габаритные размеры извещателя ................................................... 28
Приложение В. Протокол обмена RS-485 (MODBUS RTU) ...................................... 33
Приложение Г. Протокол обмена HART извещателя ............................................... 35
Приложение Д. Интерфейс «токовая петля» ............................................................ 36
Приложение Е. Схемы подключения ......................................................................... 37
         ..."
77;Руководство по эксплуатации;ДГС ЭРИС-210-3 Руководство по эксплуатации;PDF;3.19MB;ДГС ЭРИС-210-3 Руководство по эксплуатации;https://eriskip.com/uploads/files/ru/1/77/210-re-v20-lajt.pdf;ДГС ЭРИС-210-3 | ЭРИС-210-3 | руководство по эксплуатации;Документ: «ДГС ЭРИС-210-3 Руководство по эксплуатации». Описание: ДГС ЭРИС-210-3 Руководство по эксплуатации. Формат: PDF 3.19MB. Ссылка для скачивания: https://eriskip.com/uploads/files/ru/1/77/210-re-v20-lajt.pdf;1;77_ДГС_ЭРИС-210-3_Руководство_по_эксплуатации.txt;164840;"Версия 2.0
                                                                    Оглавление


                            Оглавление
Введение .......................................................................................................................... 4
1 Указание мер безопасности ........................................................................................ 5
2 Назначение газоанализатора ...................................................................................... 6
3 Гарантии изготовителя ................................................................................................ 7
4 Устройство газоанализатора ....................................................................................... 8
  4.1 Внешний вид ........................................................................................................... 8
  4.2 Габаритные размеры ............................................................................................. 8
  4.3 Конструкция газоанализатора ............................................................................... 9
5 Комплектность ............................................................................................................ 11
6 Хранение и транспортирование ................................................................................ 13
  6.1 Хранение газоанализаторов ............................................................................... 13
  6.2 Транспортирование газоанализаторов .............................................................. 13
7 Маркировка и пломбирование ................................................................................... 14
8 Технические характеристики ..................................................................................... 15
  8.1 Условия эксплуатации ......................................................................................... 15
  8.2 Характеристики конструкции ............................................................................... 15
  8.3 Электротехнические характеристики ................................................................. 15
  8.4 Метрологические характеристики ....................................................................... 16
  8.5 Характеристики надежности ............................................................................... 17
9 Конфигурация по умолчанию .................................................................................... 18
10 Подготовка к работе ................................................................................................. 19
11 Монтаж газоанализатора ......................................................................................... 20
  11.1 Рекомендации по оптимальному расположению газоанализатора ............... 20
  11.2 Установка газоанализатора на стену (пластину) ............................................. 20
  11.3 Установка газоанализатора на трубу ............................................................... 21
12 Подключение газоанализатора ............................................................................... 22
  12.1 Подключение проводов ..................................................................................... 22
  12.2 Расчет длины кабельной линии ........................................................................ 23
  12.3 Заземление ........................................................................................................ 24
13 Первое включение (ввод в эксплуатацию) ............................................................. 25
  13.1 Проверка подключения электропитания .......................................................... 25
  13.2 Проверка монтажа ............................................................................................. 25
14 Проверка работоспособности и индикации ............................................................ 26
  14.1 Проверка индикации ..................................."
